SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_ANOM,EMPLOYED_YEARS,AGE_YEARS,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,CREDIT_GOODS_RATIO,INCOME_PER_PERSON,EXT_SOURCE_MEAN,EXT_SOURCE_MAX,EXT_SOURCE_MIN,EXT_SOURCE_STD,EXT_SOURCE_PRODUCT,EXT_SOURCE_COUNT_AVAILABLE,bureau_count,bureau_mean_credit_sum,bureau_max_credit_sum,bureau_total_credit_sum,bureau_mean_debt,bureau_max_debt,bureau_total_debt,bureau_mean_overdue,bureau_max_overdue,bureau_total_overdue,bureau_mean_days_credit,bureau_max_days_credit,bureau_active_credit_count,bureau_closed_credit_count,bureau_sold_credit_count,bureau_bad_debt_count,prev_num_prev_apps,prev_avg_prev_credit,prev_max_prev_credit,prev_avg_prev_annuity,prev_avg_down_payment,prev_num_approved,prev_num_refused,prev_num_canceled,prev_approval_rate,prev_refusal_rate,inst_avg_delay,inst_median_delay,inst_max_delay,inst_num_late,inst_pct_late,inst_num_early,inst_pct_early,inst_num_ontime,inst_pct_ontime,cc_avg_balance,cc_max_balance,cc_avg_drawings,cc_avg_payment,cc_avg_credit_limit,cc_avg_utilization,cc_max_utilization,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,CODE_GENDER_F,CODE_GENDER_M,CODE_GENDER_XNA,FLAG_OWN_CAR_N,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_N,FLAG_OWN_REALTY_Y,NAME_EDUCATION_TYPE_Academic degree,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,FONDKAPREMONT_MODE_Unknown,FONDKAPREMONT_MODE_not specified,FONDKAPREMONT_MODE_org spec account,FONDKAPREMONT_MODE_reg oper account,FONDKAPREMONT_MODE_reg oper spec account,HOUSETYPE_MODE_Unknown,HOUSETYPE_MODE_block of flats,HOUSETYPE_MODE_specific housing,HOUSETYPE_MODE_terraced house,EMERGENCYSTATE_MODE_No,EMERGENCYSTATE_MODE_Unknown,EMERGENCYSTATE_MODE_Yes,NAME_TYPE_SUITE_FREQ,NAME_INCOME_TYPE_FREQ,NAME_FAMILY_STATUS_FREQ,NAME_HOUSING_TYPE_FREQ,OCCUPATION_TYPE_FREQ,WEEKDAY_APPR_PROCESS_START_FREQ,ORGANIZATION_TYPE_FREQ,WALLSMATERIAL_MODE_FREQ
100002,1,0,202500.0,406597.5,24700.5,351000.0,0.018801,-9461,-637,-3648.0,-2120,,1,1,0,1,1,0,1.0,2,2,10,0,0,0,0,0,0,0.0830369673913225,0.2629485927471776,0.1393757800997895,0.0247,0.0369,0.9722,0.6192,0.0143,0.0,0.069,0.0833,0.125,0.0369,0.0202,0.019,0.0,0.0,0.0252,0.0383,0.9722,0.6341,0.0144,0.0,0.069,0.0833,0.125,0.0377,0.022,0.0198,0.0,0.0,0.025,0.0369,0.9722,0.6243,0.0144,0.0,0.069,0.0833,0.125,0.0375,0.0205,0.0193,0.0,0.0,0.0149,2.0,2.0,2.0,2.0,-1134.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.7452054794520548,25.92054794520548,2.007888888888889,0.1219777777777777,1.1583974358974358,202500.0,0.1617871134127632,0.2629485927471776,0.0830369673913225,0.092025806870656,0.0366486652402797,3,8.0,108131.945625,450000.0,865055.565,49156.2,245781.0,245781.0,0.0,0.0,0.0,-874.0,-103.0,2.0,6.0,0.0,0.0,1.0,179055.0,179055.0,9251.775,0.0,1.0,0.0,0.0,1.0,0.0,-20.42105263157895,-19.0,-12.0,0.0,0.0,19.0,1.0,0.0,0.0,,,,,,,,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0.8081857234375356,0.5163197414076245,0.1477800794117933,0.8873438673738501,0.1794602469505156,0.1688850154953806,0.2211042857003489,0.2107729479595851
100003,0,0,270000.0,1293502.5,35698.5,1129500.0,0.0035409999999999,-16765,-1188,-1186.0,-291,,1,1,0,1,1,0,2.0,1,1,11,0,0,0,0,0,0,0.3112673113812225,0.6222457752555098,,0.0959,0.0529,0.9851,0.7959999999999999,0.0605,0.08,0.0345,0.2917,0.3333,0.013,0.0773,0.0549,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,0.0714,1.0,0.0,1.0,0.0,-828.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.254794520547945,45.93150684931507,4.79075,0.1322166666666666,1.145199203187251,135000.0,0.4667565433183661,0.6222457752555098,0.3112673113812225,0.2198949806084844,,2,4.0,254350.125,810000.0,1017400.5,0.0,0.0,0.0,0.0,0.0,0.0,-1400.75,-606.0,1.0,3.0,0.0,0.0,3.0,484191.0,1035882.0,56553.99,3442.5,3.0,0.0,0.0,1.0,0.0,-7.16,-6.0,-1.0,0.0,0.0,25.0,1.0,0.0,0.0,,,,,,,,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.1305611831771871,0.07057633710664,0.6387804013514964,0.8873438673738501,0.0896553294028506,0.1649176777416092,0.0289192906920402,0.030089980521022
100004,0,0,67500.0,135000.0,6750.0,135000.0,0.010032,-19046,-225,-4260.0,-2531,26.0,1,1,1,1,1,0,1.0,2,2,9,0,0,0,0,0,0,,0.5559120833904428,0.7295666907060153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6164383561643836,52.18082191780822,2.0,0.1,1.0,67500.0,0.6427393870482291,0.7295666907060153,0.5559120833904428,0.1227923504171283,0.4055749390026518,2,2.0,94518.9,94537.8,189037.8,0.0,0.0,0.0,0.0,0.0,0.0,-867.0,-408.0,0.0,2.0,0.0,0.0,1.0,20106.0,20106.0,5357.25,4860.0,1.0,0.0,0.0,1.0,0.0,-7.666666666666667,-9.0,-3.0,0.0,0.0,3.0,1.0,0.0,0.0,,,,,,,,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,0.8081857234375356,0.5163197414076245,0.1477800794117933,0.8873438673738501,0.1794602469505156,0.1649176777416092,0.0338329360575719,0.508407829313423
100006,0,0,135000.0,312682.5,29686.5,297000.0,0.008019,-19005,-3039,-9833.0,-2437,,1,1,0,1,0,0,2.0,2,2,17,0,0,0,0,0,0,,0.6504416904014653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-617.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,8.326027397260274,52.06849315068493,2.3161666666666667,0.2199,1.0528030303030302,67500.0,0.6504416904014653,0.6504416904014653,0.6504416904014653,,,1,,,,,,,,,,,,,,,,,9.0,291695.5,906615.0,23651.175,34840.17,5.0,1.0,3.0,0.5555555555555556,0.1111111111111111,-19.375,-6.0,-1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,0.0,0.0,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,0.8081857234375356,0.5163197414076245,0.0968258046053637,0.8873438673738501,0.1794602469505156,0.1688850154953806,0.2211042857003489,0.508407829313423
100007,0,0,121500.0,513000.0,21865.5,513000.0,0.028663,-19932,-3038,-4311.0,-3458,,1,1,0,1,0,0,1.0,2,2,11,0,0,0,0,1,1,,0.3227382869704046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1106.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.323287671232876,54.608219178082194,4.222222222222222,0.1799629629629629,1.0,121500.0,0.3227382869704046,0.3227382869704046,0.3227382869704046,,,1,1.0,146250.0,146250.0,146250.0,0.0,0.0,0.0,0.0,0.0,0.0,-1149.0,-1149.0,0.0,1.0,0.0,0.0,6.0,166638.75,284400.0,12278.805,3390.75,6.0,0.0,0.0,1.0,0.0,-3.636363636363636,-2.0,12.0,16.0,0.2424242424242424,41.0,0.6212121212121212,9.0,0.1363636363636363,,,,,,,,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,0.8081857234375356,0.5163197414076245,0.1477800794117933,0.8873438673738501,0.0896553294028506,0.1645176920500405,0.0002764128762873,0.508407829313423
100008,0,0,99000.0,490495.5,27517.5,454500.0,0.035792,-16941,-1588,-4970.0,-477,,1,1,1,1,1,0,2.0,2,2,16,0,0,0,0,0,0,,0.3542247319929012,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2536.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,4.35068493150685,46.41369863013698,4.9545,0.2779545454545454,1.0791980198019802,49500.0,0.487725535027784,0.6212263380626669,0.3542247319929012,0.1887986462396305,0.2200537331071796,2,3.0,156148.5,267606.0,468445.5,80019.0,240057.0,240057.0,0.0,0.0,0.0,-757.3333333333334,-78.0,1.0,2.0,0.0,0.0,5.0,162767.7,501975.0,15839.69625,5548.5,4.0,0.0,1.0,0.8,0.0,26.114285714285717,-10.0,1317.0,1.0,0.0285714285714285,34.0,0.9714285714285714,0.0,0.0,,,,,,,,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,0.0369742870986728,0.07057633710664,0.6387804013514964,0.8873438673738501,0.1794602469505156,0.1688850154953806,0.0542517178247282,0.508407829313423
100009,0,1,171000.0,1560726.0,41301.0,1395000.0,0.035792,-13778,-3130,-1213.0,-619,17.0,1,1,0,1,1,0,3.0,2,2,16,0,0,0,0,0,0,0.7747614130547695,0.7239998516953141,0.4920600938649263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1562.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0,0,8.575342465753424,37.74794520547945,9.127052631578948,0.2415263157894736,1.1188,57000.0,0.6636071195383366,0.7747614130547695,0.4920600938649263,0.1507165237820914,0.3562514349833889,3,18.0,266711.75,1777500.0,4800811.5,76953.53571428571,557959.5,1077349.5,0.0,0.0,0.0,-1271.5,-239.0,4.0,14.0,0.0,0.0,7.0,70137.64285714286,98239.5,10051.412142857142,9203.142857142857,7.0,0.0,0.0,1.0,0.0,-8.588235294117647,-8.0,7.0,1.0,0.0196078431372549,50.0,0.9803921568627452,0.0,0.0,,,,,,,,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.8081857234375356,0.2328924818949566,0.6387804013514964,0.8873438673738501,0.0319110535883269,0.052619255896537,0.2211042857003489,0.508407829313423
100010,0,0,360000.0,1530000.0,42075.0,1530000.0,0.0031219999999999,-18850,-449,-4597.0,-2379,8.0,1,1,1,1,0,0,2.0,3,3,16,0,0,0,0,1,1,,0.7142792864482229,0.5406544504453575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1070.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2301369863013698,51.64383561643836,4.25,0.116875,1.0,180000.0,0.6274668684467902,0.7142792864482229,0.5406544504453575,0.1227712989200283,0.3861782750791661,2,2.0,495000.0,675000.0,990000.0,174003.75,348007.5,348007.5,0.0,0.0,0.0,-1939.5,-1138.0,1.0,1.0,0.0,0.0,1.0,260811.0,260811.0,27463.41,0.0,1.0,0.0,0.0,1.0,0.0,-11.9,-10.5,-5.0,0.0,0.0,10.0,1.0,0.0,0.0,,,,,,,,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.8081857234375356,0.07057633710664,0.6387804013514964,0.8873438673738501,0.0694967009310236,0.1649176777416092,0.0542517178247282,0.508407829313423
100011,0,0,112500.0,1019610.0,33826.5,913500.0,0.018634,-20099,365243,-7427.0,-3514,,1,0,0,1,0,0,2.0,2,2,14,0,0,0,0,0,0,0.5873340468730377,0.2057472880073281,0.7517237147741489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1000.6657534246576,55.06575342465754,9.0632,0.30068,1.1161576354679803,56250.0,0.5149350165515049,0.7517237147741489,0.2057472880073281,0.2800960180721784,0.1546651156455754,3,4.0,108807.075,145242.0,435228.3,0.0,0.0,0.0,0.0,0.0,0.0,-1773.0,-1309.0,0.0,4.0,0.0,0.0,4.0,261840.375,732915.0,18303.195,6797.25,3.0,1.0,0.0,0.75,0.25,3.1384615384615384,0.0,958.0,19.0,0.1461538461538461,64.0,0.4923076923076923,47.0,0.3615384615384615,54482.11114864865,189000.0,2432.4324324324325,4520.067567567568,164189.1891891892,0.3026783952702702,1.05,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,0.0106240101980091,0.18003258420024,0.6387804013514964,0.8873438673738501,0.3134554536260491,0.1688850154953806,0.1800716071945393,0.508407829313423
100012,0,0,135000.0,405000.0,20250.0,405000.0,0.0196889999999999,-14469,-2019,-14437.0,-3992,,1,1,0,1,0,0,1.0,2,2,8,0,0,0,0,0,0,,0.7466436294590924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,5.531506849315068,39.64109589041096,3.0,0.15,1.0,135000.0,0.7466436294590924,0.7466436294590924,0.7466436294590924,,,1,,,,,,,,,,,,,,,,,4.0,74119.5,158508.0,7894.155,0.0,3.0,0.0,1.0,0.75,0.0,-25.3125,-17.0,14.0,5.0,0.1041666666666666,43.0,0.8958333333333334,0.0,0.0,,,,,,,,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,0.8081857234375356,0.5163197414076245,0.1477800794117933,0.8873438673738501,0.1794602469505156,0.1645176920500405,0.0030893203820351,0.508407829313423
